event_id,topic_id,relevance
event_0,topic_deep_learning,0.66
event_0,topic_ai,0.51
event_0,topic_full_stack,0.7
event_0,topic_frontend,0.61
event_0,topic_cloud_computing,0.92
event_0,topic_fintech,0.56
event_1,topic_full_stack,0.97
event_1,topic_data_engineering,0.65
event_1,topic_blockchain,0.85
event_2,topic_blockchain,0.69
event_2,topic_nosql,0.96
event_2,topic_cloud_computing,0.75
event_2,topic_web3,0.94
event_2,topic_microservices,0.93
event_2,topic_data_engineering,0.64
event_3,topic_python,0.92
event_3,topic_api_design,0.79
event_3,topic_kubernetes,0.83
event_3,topic_ai,0.93
event_3,topic_docker,0.72
event_3,topic_full_stack,0.74
event_4,topic_microservices,0.93
event_4,topic_nosql,0.99
event_4,topic_go,0.62
event_4,topic_web3,0.69
event_4,topic_python,0.93
event_5,topic_llms,0.75
event_5,topic_python,0.52
event_5,topic_blockchain,0.75
event_5,topic_go,0.8
event_5,topic_mlops,0.93
event_5,topic_data_engineering,0.94
event_6,topic_deep_learning,0.94
event_6,topic_api_design,0.98
event_6,topic_web3,0.54
event_6,topic_ai,0.89
event_6,topic_data_engineering,0.63
event_6,topic_rust,0.81
event_7,topic_full_stack,0.98
event_7,topic_machine_learning,0.81
event_7,topic_python,0.94
event_7,topic_mlops,0.74
event_7,topic_microservices,0.77
event_7,topic_go,0.81
event_8,topic_full_stack,0.87
event_8,topic_mlops,0.72
event_8,topic_docker,0.55
event_8,topic_cloud_computing,0.82
event_9,topic_web3,0.65
event_9,topic_fintech,0.51
event_9,topic_data_science,0.66
event_10,topic_docker,0.57
event_10,topic_javascript,0.77
event_10,topic_rust,0.78
event_11,topic_fintech,0.81
event_11,topic_machine_learning,0.62
event_11,topic_frontend,0.96
event_11,topic_go,0.57
